region,fiscal_year,value,agent,method,suburb
Northern Metropolitan,2018,965000,Nelson,S,Carlton North
Southern Metropolitan,2018,780000,Woodards,S,Carnegie
Southern Metropolitan,2018,345000,Ray,S,Carnegie
South-Eastern Metropolitan,2018,676000,Buxton,S,Carrum
South-Eastern Metropolitan,2018,835000,Ray,S,Chelsea Heights
Southern Metropolitan,2018,1156000,Buxton,SP,Cheltenham
Southern Metropolitan,2018,900000,Buxton,S,Cheltenham
Eastern Victoria,2018,830000,Max,S,Chirnside Park
South-Eastern Metropolitan,2018,805000,Buxton,S,Clarinda
Eastern Victoria,2018,575000,YPA,SP,Clyde North
Northern Metropolitan,2018,821000,Nelson,S,Coburg
Northern Metropolitan,2018,980000,Nelson,SA,Coburg
Northern Metropolitan,2018,940000,Nelson,S,Coburg North
Northern Metropolitan,2018,620000,YPA,PI,Craigieburn
Northern Metropolitan,2018,520000,YPA,SA,Craigieburn
Northern Metropolitan,2018,385000,Ray,S,Craigieburn
Northern Metropolitan,2018,761000,Ray,S,Craigieburn
Northern Metropolitan,2018,414000,Ray,S,Craigieburn
South-Eastern Metropolitan,2018,530000,C21,S,Cranbourne West
Northern Metropolitan,2018,1260000,Biggin,S,Cremorne
Eastern Metropolitan,2018,1012000,iTRAK,SP,Croydon
Eastern Metropolitan,2018,825000,Ray,PI,Croydon
Eastern Metropolitan,2018,1120000,Barry,S,Croydon
Eastern Metropolitan,2018,560000,RW,S,Croydon North
Northern Metropolitan,2018,535000,YPA,PI,Dallas
Northern Metropolitan,2018,515000,YPA,S,Dallas
Northern Victoria,2018,720000,Barry,VB,Diamond Creek
Eastern Metropolitan,2018,885000,Barry,S,Doncaster
Eastern Metropolitan,2018,885000,Barry,SP,Doncaster
Northern Victoria,2018,622000,YPA,S,Doreen
South-Eastern Metropolitan,2018,545000,Greg,VB,Edithvale
Eastern Metropolitan,2018,821000,Morrison,S,Eltham
Eastern Metropolitan,2018,870000,Jellis,S,Eltham
South-Eastern Metropolitan,2018,640000,Barry,SP,Endeavour Hills
Northern Metropolitan,2018,676000,HAR,S,Epping
Western Metropolitan,2018,1715000,Rendina,S,Essendon
Western Metropolitan,2018,1067500,Nelson,S,Essendon
Northern Metropolitan,2018,630000,Re,S,Fawkner
Northern Metropolitan,2018,520000,Barry,SP,Fawkner
Eastern Metropolitan,2018,750000,LJ,S,Ferntree Gully
Northern Metropolitan,2018,753000,Peter,S,Fitzroy
Western Metropolitan,2018,585000,Village,S,Footscray
Western Metropolitan,2018,497000,Sweeney,S,Footscray
South-Eastern Metropolitan,2018,490000,hockingstuart,S,Frankston
South-Eastern Metropolitan,2018,1215500,Eview,S,Frankston South
Southern Metropolitan,2018,406000,Woodards,SP,Glen Huntly
Southern Metropolitan,2018,646000,hockingstuart,S,Glen Iris
Southern Metropolitan,2018,560000,hockingstuart,S,Glen Iris
Southern Metropolitan,2018,1186000,Fletchers,S,Glen Iris
Southern Metropolitan,2018,1312500,Buxton,S,Glen Iris
Eastern Metropolitan,2018,1925000,Mega,VB,Glen Waverley
Eastern Metropolitan,2018,790000,Ray,S,Glen Waverley
Northern Metropolitan,2018,820000,McGrath,SP,Greensborough
Northern Metropolitan,2018,746000,Stockdale,S,Greenvale
Northern Metropolitan,2018,999000,YPA,S,Greenvale
Southern Metropolitan,2018,505000,Jellis,S,Hawthorn
Southern Metropolitan,2018,511000,Jellis,S,Hawthorn
Southern Metropolitan,2018,640000,Jellis,S,Hawthorn
Southern Metropolitan,2018,390000,Jellis,S,Hawthorn East
South-Eastern Metropolitan,2018,876000,Greg,S,Heatherton
Southern Metropolitan,2018,950000,Maitland,PI,Highett
Western Metropolitan,2018,680000,O'Brien,S,Hillside
Western Metropolitan,2018,620000,Barry,S,Hillside
Western Metropolitan,2018,642000,Barry,S,Hillside
Western Metropolitan,2018,795000,Barry,S,Hoppers Crossing
Western Metropolitan,2018,570000,hockingstuart,S,Hoppers Crossing
Western Metropolitan,2018,556000,Sweeney,S,Hoppers Crossing
Southern Metropolitan,2018,705000,Buxton,S,Hughesdale
Northern Metropolitan,2018,420000,YPA,S,Jacana
Western Metropolitan,2018,610000,Ray,S,Kealba
Western Metropolitan,2018,665000,YPA,S,Keilor Downs
Western Metropolitan,2018,980000,Barry,S,Keilor East
Western Metropolitan,2018,595000,Moonee,S,Keilor East
Northern Metropolitan,2018,1115000,Rendina,S,Kensington
Northern Metropolitan,2018,855000,Woodards,PI,Kensington
South-Eastern Metropolitan,2018,715000,Biggin,S,Keysborough
Northern Metropolitan,2018,526000,Ray,S,Kingsbury
Western Metropolitan,2018,241000,Jas,S,Kingsville
Western Metropolitan,2018,1020000,Village,SP,Kingsville
Northern Metropolitan,2018,625000,Ray,S,Lalor
Western Metropolitan,2018,440000,Hunter,SA,Laverton
Northern Metropolitan,2018,800000,Ray,S,MacLeod
Northern Metropolitan,2018,875000,Ray,S,MacLeod
Southern Metropolitan,2018,355000,hockingstuart,SP,Malvern East
Western Metropolitan,2018,585000,Edward,S,Maribyrnong
Western Metropolitan,2018,765000,Biggin,SP,Maribyrnong
Western Metropolitan,2018,625000,Biggin,S,Maribyrnong
Northern Metropolitan,2018,458000,YPA,S,Meadow Heights
Northern Metropolitan,2018,632000,Barry,S,Meadow Heights
Northern Metropolitan,2018,587000,YPA,S,Meadow Heights
Western Victoria,2018,324000,Ryder,S,Melton
South-Eastern Metropolitan,2018,830000,Scott,S,Mentone
South-Eastern Metropolitan,2018,825000,Buxton,VB,Mentone
South-Eastern Metropolitan,2018,881000,Buxton,S,Mentone
Northern Metropolitan,2018,610000,Stockdale,SP,Mernda
Northern Metropolitan,2018,525000,Barry,S,Mernda
Northern Metropolitan,2018,517000,Barry,S,Mernda
Northern Metropolitan,2018,573500,Stockdale,S,Mernda
Northern Metropolitan,2018,610000,Ray,S,Mernda
Northern Metropolitan,2018,690500,HAR,S,Mill Park
Northern Metropolitan,2018,825000,Ray,SP,Mill Park
Northern Metropolitan,2018,737000,HAR,S,Mill Park
Northern Metropolitan,2018,872000,HAR,S,Mill Park
Northern Metropolitan,2018,579000,Love,S,Mill Park
Eastern Metropolitan,2018,966000,Noel,S,Mitcham
Western Metropolitan,2018,1360000,Ray,S,Moonee Ponds
Western Metropolitan,2018,1285000,Nelson,S,Moonee Ponds
Western Metropolitan,2018,1075000,Nelson,S,Moonee Ponds
Southern Metropolitan,2018,780000,Buxton,S,Moorabbin
Southern Metropolitan,2018,915000,Buxton,S,Moorabbin
South-Eastern Metropolitan,2018,1450000,Hodges,VB,Mordialloc
South-Eastern Metropolitan,2018,730000,Buxton,VB,Mordialloc
Eastern Victoria,2018,573000,Prof.,S,Mount Evelyn
Eastern Metropolitan,2018,700000,Jellis,S,Mount Waverley
South-Eastern Metropolitan,2018,675000,Win,S,Mulgrave
South-Eastern Metropolitan,2018,880000,Barry,PI,Mulgrave
South-Eastern Metropolitan,2018,860000,Harcourts,VB,Mulgrave
South-Eastern Metropolitan,2018,828000,OBrien,S,Mulgrave
South-Eastern Metropolitan,2018,842000,Win,S,Mulgrave
South-Eastern Metropolitan,2018,1020000,Win,S,Mulgrave
South-Eastern Metropolitan,2018,652000,Harcourts,S,Narre Warren
South-Eastern Metropolitan,2018,495000,O'Brien,S,Narre Warren
Western Metropolitan,2018,292500,Williams,SP,Newport
Western Metropolitan,2018,1300000,Brad,SP,Niddrie
Western Metropolitan,2018,910000,Barry,S,Niddrie
South-Eastern Metropolitan,2018,528000,Area,S,Noble Park
South-Eastern Metropolitan,2018,700000,C21,S,Noble Park
Northern Metropolitan,2018,1285000,Jellis,PI,North Melbourne
Northern Metropolitan,2018,801000,Biggin,PI,Northcote
Northern Metropolitan,2018,960000,Nelson,PI,Northcote
Eastern Metropolitan,2018,755000,Jellis,S,Nunawading
Eastern Metropolitan,2018,970000,Barry,VB,Nunawading
Southern Metropolitan,2018,1650000,Buxton,PI,Ormond
South-Eastern Metropolitan,2018,593500,O'Brien,S,Parkdale
Northern Metropolitan,2018,506000,Nelson,SP,Pascoe Vale
Western Metropolitan,2018,733000,LJ,S,Point Cook
Western Metropolitan,2018,550000,Barry,S,Point Cook
Western Metropolitan,2018,760000,LJ,S,Point Cook
Western Metropolitan,2018,507500,hockingstuart,S,Point Cook
Western Metropolitan,2018,473000,Reliance,S,Point Cook
Western Metropolitan,2018,697000,hockingstuart,S,Point Cook
Western Metropolitan,2018,631500,LJ,S,Point Cook
Southern Metropolitan,2018,590000,Nelson,SP,Port Melbourne
Southern Metropolitan,2018,630000,hockingstuart,SP,Port Melbourne
Southern Metropolitan,2018,642000,Biggin,SP,Port Melbourne
Southern Metropolitan,2018,1950000,Greg,S,Port Melbourne
Southern Metropolitan,2018,1275000,Scott,PI,Port Melbourne
Northern Metropolitan,2018,380000,Ray,PI,Reservoir
Northern Metropolitan,2018,775000,Love,S,Reservoir
Northern Metropolitan,2018,630000,Ray,PI,Reservoir
Northern Metropolitan,2018,494000,Ray,S,Reservoir
Northern Metropolitan,2018,1305500,Nelson,S,Reservoir
Northern Metropolitan,2018,1850000,Jellis,VB,Richmond
Northern Metropolitan,2018,410000,Biggin,VB,Richmond
Eastern Metropolitan,2018,800000,Fletchers,S,Ringwood North
Eastern Metropolitan,2018,1210000,Ray,S,Rosanna
Northern Metropolitan,2018,395000,@Realty,S,Roxburgh Park
Northern Metropolitan,2018,492000,Raine,S,Roxburgh Park
Northern Metropolitan,2018,360000,Raine,S,Roxburgh Park
Northern Metropolitan,2018,363000,Raine,S,Roxburgh Park
Northern Metropolitan,2018,451000,Stockdale,S,Roxburgh Park
South-Eastern Metropolitan,2018,640000,LJ,S,Sandhurst
Southern Metropolitan,2018,1600000,Buxton,VB,Sandringham
Eastern Metropolitan,2018,705000,Prof.,PI,Scoresby
South-Eastern Metropolitan,2018,800000,Property,S,Seaford
Western Metropolitan,2018,1105000,Purplebricks,S,Seaholme
Western Metropolitan,2018,1015000,Williams,SP,South Kingsville
Southern Metropolitan,2018,365000,Greg,S,South Melbourne
Northern Metropolitan,2018,517000,Stockdale,S,South Morang
Northern Metropolitan,2018,652000,Skad,S,South Morang
Southern Metropolitan,2018,370000,Ray,S,South Yarra
South-Eastern Metropolitan,2018,780000,Hall,PI,Springvale
Western Metropolitan,2018,600000,Barry,S,St Albans
Western Metropolitan,2018,540000,People,PI,St Albans
Western Metropolitan,2018,440000,People,VB,St Albans
Southern Metropolitan,2018,290000,Woodards,VB,St Kilda
Southern Metropolitan,2018,460000,McGrath,S,St Kilda
Southern Metropolitan,2018,540000,McGrath,PI,St Kilda
Southern Metropolitan,2018,742250,Pride,S,St Kilda
Southern Metropolitan,2018,453000,Marshall,S,St Kilda
Western Metropolitan,2018,917000,Hodges,S,Strathmore
Western Metropolitan,2018,610000,Barry,SP,Sunbury
Western Metropolitan,2018,500500,YPA,S,Sunbury
Western Metropolitan,2018,530000,YPA,S,Sunbury
Western Metropolitan,2018,570000,Raine,SP,Sunbury
Western Metropolitan,2018,781000,hockingstuart,S,Sunshine
Southern Metropolitan,2018,1010000,hockingstuart,VB,Surrey Hills
Western Metropolitan,2018,516000,hockingstuart,S,Tarneit
Western Metropolitan,2018,648000,hockingstuart,S,Tarneit
Western Metropolitan,2018,735000,Barry,S,Taylors Hill
Western Metropolitan,2018,670000,Barry,S,Taylors Lakes
Western Metropolitan,2018,650000,Barry,PI,Taylors Lakes
Eastern Metropolitan,2018,1150000,Ray,SP,Templestowe Lower
Eastern Metropolitan,2018,1410000,Fletchers,PI,Templestowe Lower
Eastern Metropolitan,2018,1500000,Barry,PI,Templestowe Lower
Northern Metropolitan,2018,600000,HAR,PI,Thomastown
Northern Metropolitan,2018,585000,Moonee,S,Thornbury
Northern Metropolitan,2018,1850000,Nelson,S,Thornbury
Northern Metropolitan,2018,1225000,Nelson,SP,Thornbury
Western Metropolitan,2018,612500,Wyndham,S,Truganina
Western Metropolitan,2018,607000,Barry,SP,Truganina
Western Metropolitan,2018,611000,One,S,Truganina
Western Metropolitan,2018,557500,Ray,S,Truganina
Western Metropolitan,2018,680000,YPA,S,Tullamarine
Eastern Victoria,2018,1075000,Stockdale,S,Upwey
Eastern Metropolitan,2018,740000,Jellis,S,Viewbank
Northern Victoria,2018,920000,LJ,S,Wallan
Eastern Metropolitan,2018,1371000,Barry,S,Wantirna South
Eastern Metropolitan,2018,940000,Harcourts,PI,Wantirna South
Western Metropolitan,2018,479000,Greg,S,Werribee
Western Metropolitan,2018,470000,YPA,VB,Werribee
Western Metropolitan,2018,390000,Ray,S,Werribee
Western Metropolitan,2018,580000,Wyndham,S,Werribee
South-Eastern Metropolitan,2018,1580000,Barry,SP,Wheelers Hill
Western Metropolitan,2018,475000,Ace,S,Williams Landing
Western Metropolitan,2018,1245000,Williams,SP,Williamstown
Western Metropolitan,2018,1000000,Williams,PI,Williamstown North
Northern Metropolitan,2018,620000,LJH,S,Wollert
Northern Metropolitan,2018,615000,hockingstuart,S,Wollert
Western Metropolitan,2018,1110000,Village,SP,Yarraville
Western Metropolitan,2018,555000,Barry,S,Airport West
Northern Metropolitan,2018,1575000,Jellis,PI,Alphington
Western Metropolitan,2018,740000,hockingstuart,PI,Altona
Western Metropolitan,2018,761000,Reliance,S,Altona Meadows
Southern Metropolitan,2018,2315000,Jellis,S,Balwyn North
Southern Metropolitan,2018,721000,Buxton,S,Balwyn North
Eastern Metropolitan,2018,707200,McGrath,S,Bayswater North
Eastern Victoria,2018,665000,Peake,S,Berwick
Eastern Victoria,2018,780000,C21,SP,Berwick
Eastern Metropolitan,2018,1150000,Noel,S,Blackburn North
Eastern Metropolitan,2018,641000,McGrath,S,Boronia
Eastern Metropolitan,2018,1280000,Buxton,S,Box Hill
Southern Metropolitan,2018,1900000,Jellis,VB,Brighton
Northern Metropolitan,2018,650000,@Realty,S,Broadmeadows
Northern Metropolitan,2018,698000,Eview,S,Broadmeadows
Northern Metropolitan,2018,1320000,Collins,S,Brunswick
Northern Metropolitan,2018,580000,Nelson,S,Brunswick West
Northern Metropolitan,2018,885000,McGrath,S,Brunswick West
Eastern Metropolitan,2018,1158000,Barry,S,Bulleen
Northern Metropolitan,2018,640000,Ray,SP,Bundoora
Eastern Metropolitan,2018,1250000,Rounds,VB,Burwood East
Southern Metropolitan,2018,1050000,Ray,VB,Camberwell
South-Eastern Metropolitan,2018,620000,Eview,SP,Chelsea
Northern Metropolitan,2018,975000,Nelson,SP,Coburg
Northern Metropolitan,2018,850000,Stockdale,VB,Coburg North
Northern Metropolitan,2018,660000,Ray,S,Craigieburn
Northern Metropolitan,2018,455000,Barry,S,Craigieburn
Northern Metropolitan,2018,583000,Ray,S,Craigieburn
Northern Metropolitan,2018,613500,Ray,S,Craigieburn
Northern Metropolitan,2018,740000,LJ,S,Craigieburn
Northern Metropolitan,2018,650000,Barry,S,Craigieburn
Northern Metropolitan,2018,465000,Barry,S,Craigieburn
Northern Metropolitan,2018,700000,Ray,S,Craigieburn
Northern Metropolitan,2018,562500,Barry,PI,Craigieburn
Northern Metropolitan,2018,510000,FN,S,Dallas
Northern Metropolitan,2018,520000,FN,S,Dallas
South-Eastern Metropolitan,2018,642500,Le,S,Dandenong North
Eastern Metropolitan,2018,2250000,Jellis,PI,Doncaster
Eastern Metropolitan,2018,490000,Jellis,VB,Doncaster
Eastern Metropolitan,2018,1200000,Barry,SP,Doncaster East
Eastern Metropolitan,2018,1230000,Buckingham,S,Eltham
Northern Metropolitan,2018,622000,Iconek,S,Epping
Northern Metropolitan,2018,592000,Iconek,S,Epping
Northern Metropolitan,2018,492000,Love,S,Epping
Northern Metropolitan,2018,589500,Ray,S,Epping
Western Metropolitan,2018,245000,Burnham,S,Footscray
Western Metropolitan,2018,619500,Raine,SP,Gladstone Park
Southern Metropolitan,2018,740000,Woodards,VB,Glen Huntly
Eastern Metropolitan,2018,1075000,Ray,S,Glen Waverley
Eastern Metropolitan,2018,815000,Barry,S,Glen Waverley
Northern Metropolitan,2018,876500,Eview,S,Glenroy
Northern Metropolitan,2018,680000,RW,VB,Glenroy
Northern Metropolitan,2018,777777,Stockdale,S,Glenroy
Northern Metropolitan,2018,905000,Stockdale,S,Glenroy
Northern Metropolitan,2018,675000,HAR,S,Greenvale
Southern Metropolitan,2018,655000,RT,SP,Hawthorn
Eastern Metropolitan,2018,588000,Miles,S,Heidelberg
Western Metropolitan,2018,480000,Barry,SP,Hillside
Western Metropolitan,2018,428000,Sweeney,S,Hoppers Crossing
Western Metropolitan,2018,760000,Barry,S,Keilor Downs
Western Metropolitan,2018,616000,Hodges,S,Keilor East
Western Metropolitan,2018,950000,Nelson,PI,Keilor East
Western Metropolitan,2018,1000000,Nelson,VB,Keilor East
Western Metropolitan,2018,635000,Nelson,S,Keilor Park
Northern Metropolitan,2018,1122500,Edward,S,Kensington
Northern Metropolitan,2018,521000,Ray,S,Kingsbury
Northern Metropolitan,2018,800000,Barry,S,Kingsbury
Eastern Metropolitan,2018,939000,Barry,SP,Knoxfield
South-Eastern Metropolitan,2018,730000,Noel,PI,Lysterfield
Western Metropolitan,2018,395000,Pagan,SP,Maidstone
Western Victoria,2018,380000,PRDNationwide,S,Melton South
Northern Metropolitan,2018,610000,LITTLE,SP,Mernda
Northern Metropolitan,2018,501000,Ray,S,Mill Park
Northern Metropolitan,2018,780000,HAR,S,Mill Park
Northern Metropolitan,2018,763000,HAR,S,Mill Park
South-Eastern Metropolitan,2018,845000,Ray,S,Mulgrave
Western Metropolitan,2018,865000,Biggin,PI,Newport
South-Eastern Metropolitan,2018,920000,Eview,S,Noble Park
Northern Metropolitan,2018,1010000,Nelson,S,Northcote
Northern Metropolitan,2018,1700000,Jellis,VB,Northcote
Northern Metropolitan,2018,1375000,Ray,S,Northcote
Northern Metropolitan,2018,1660000,Jellis,SP,Northcote
Eastern Metropolitan,2018,500000,Ray,PI,Nunawading
Northern Metropolitan,2018,850000,Stockdale,SP,Oak Park
Southern Metropolitan,2018,1140000,Buxton,S,Oakleigh East
Eastern Victoria,2018,667000,O'Brien,S,Officer
Eastern Victoria,2018,510000,O'Brien,S,Pakenham
South-Eastern Metropolitan,2018,650000,Barry,S,Parkdale
Northern Metropolitan,2018,651000,Peter,S,Pascoe Vale
Western Metropolitan,2018,630000,Barry,PI,Plumpton
Western Metropolitan,2018,640000,hockingstuart,PI,Point Cook
Western Metropolitan,2018,543080,Raine,S,Point Cook
Western Metropolitan,2018,516000,Point,S,Point Cook
Southern Metropolitan,2018,2465000,Frank,S,Port Melbourne
Southern Metropolitan,2018,1100000,Cayzer,VB,Port Melbourne
Northern Metropolitan,2018,460000,Ray,SP,Reservoir
Northern Metropolitan,2018,443000,Ray,S,Reservoir
Northern Metropolitan,2018,650000,Ray,PI,Reservoir
Northern Metropolitan,2018,822000,Ray,S,Reservoir
Northern Metropolitan,2018,705000,YPA,S,Roxburgh Park
Northern Metropolitan,2018,600000,Raine,S,Roxburgh Park
Northern Metropolitan,2018,622000,Raine,S,Roxburgh Park
Western Metropolitan,2018,730000,Village,S,South Kingsville
Northern Metropolitan,2018,774000,HAR,S,South Morang
Southern Metropolitan,2018,550000,hockingstuart,S,South Yarra
Western Metropolitan,2018,540000,Raine,S,Sunbury
Western Metropolitan,2018,650000,Leading,S,Sunbury
Western Metropolitan,2018,645000,YPA,SP,Sydenham
Western Metropolitan,2018,610000,Sweeney,SP,Tarneit
Western Metropolitan,2018,700000,YPA,VB,Taylors Hill
Northern Metropolitan,2018,592500,Skad,SP,Thomastown
Northern Metropolitan,2018,240000,Ray,PI,Thomastown
Northern Metropolitan,2018,845000,Jellis,SP,Thornbury
Eastern Metropolitan,2018,705000,Harcourts,SP,Wantirna South
Eastern Metropolitan,2018,1180501,Barry,SP,Wantirna South
Eastern Metropolitan,2018,800000,Barry,SP,Wantirna South
Western Metropolitan,2018,723500,FN,S,Werribee
Western Metropolitan,2018,447000,YPA,S,Werribee
Western Metropolitan,2018,504000,YPA,SP,Werribee
Northern Metropolitan,2018,597500,hockingstuart,S,Wollert
Northern Metropolitan,2018,740000,hockingstuart,S,Wollert
Southern Metropolitan,2016,280000,hockingstuart,PI,Armadale
Northern Metropolitan,2016,1100000,Nelson,S,Brunswick
Northern Metropolitan,2016,750000,Nelson,PI,Brunswick
Northern Metropolitan,2016,1056000,Nelson,S,Brunswick
Northern Metropolitan,2016,1045000,Jellis,S,Brunswick
Southern Metropolitan,2016,400000,hockingstuart,PI,Armadale
Southern Metropolitan,2016,1780000,Marshall,S,Armadale
Southern Metropolitan,2016,592500,hockingstuart,S,Armadale
Northern Metropolitan,2016,620000,Harrington,S,Brunswick
Northern Metropolitan,2016,605000,McGrath,S,Brunswick
Northern Metropolitan,2016,880000,Dingle,S,Brunswick
Northern Metropolitan,2016,1222500,Nelson,S,Brunswick
Northern Metropolitan,2017,810000,Rendina,PI,Brunswick
Northern Metropolitan,2017,764000,Woodards,S,Brunswick
Northern Metropolitan,2017,1105000,Nelson,S,Brunswick
Northern Metropolitan,2017,1260000,Jellis,S,Brunswick
Northern Metropolitan,2017,955000,Nelson,S,Brunswick
Northern Metropolitan,2017,895000,Nelson,S,Brunswick
Northern Metropolitan,2017,1094000,Nelson,S,Brunswick
Northern Metropolitan,2017,1135000,Barry,S,Brunswick
Northern Metropolitan,2017,1300000,Jellis,VB,Abbotsford
Northern Metropolitan,2017,505000,Biggin,S,Abbotsford
Northern Metropolitan,2017,940000,Biggin,S,Abbotsford
Western Metropolitan,2017,1150000,Barry,S,Aberfeldie
Western Metropolitan,2017,560000,Barry,S,Albanvale
Southern Metropolitan,2017,2200000,Greg,SP,Albert Park
Southern Metropolitan,2017,3000000,Marshall,PI,Albert Park
Southern Metropolitan,2017,1250000,Cayzer,VB,Albert Park
Western Metropolitan,2017,635000,Bells,S,Albion
Western Metropolitan,2017,375790,Jas,SP,Albion
Western Metropolitan,2017,1050000,Raine,SP,Altona
Western Metropolitan,2017,670000,Biggin,SP,Altona Meadows
Western Metropolitan,2017,760000,RT,S,Altona North
Western Metropolitan,2017,840000,FN,SP,Altona North
Western Metropolitan,2017,940000,Hunter,SP,Altona North
Western Metropolitan,2017,755000,Jas,S,Altona North
Western Metropolitan,2017,1025000,Greg,S,Altona North
Western Metropolitan,2017,615000,hockingstuart,VB,Ardeer
Southern Metropolitan,2017,500000,Marshall,S,Armadale
Western Metropolitan,2017,1275000,Nelson,S,Ascot Vale
Western Metropolitan,2017,1155000,Brad,S,Ascot Vale
Western Metropolitan,2017,1365000,Raine,S,Ascot Vale
Southern Metropolitan,2017,1200000,hockingstuart,S,Ashburton
Southern Metropolitan,2017,1425000,Buxton,S,Ashwood
South-Eastern Metropolitan,2017,1232000,Barry,S,Aspendale Gardens
South-Eastern Metropolitan,2017,915000,Barry,SP,Aspendale Gardens
Western Metropolitan,2017,1030000,Barry,PI,Avondale Heights
Western Metropolitan,2017,1100000,Moonee,SP,Avondale Heights
Western Metropolitan,2017,880000,Moonee,SP,Avondale Heights
Western Metropolitan,2017,790000,LITTLE,VB,Avondale Heights
Western Victoria,2017,450000,FN,SP,Bacchus Marsh
Southern Metropolitan,2017,1725000,Jellis,PI,Balwyn
Southern Metropolitan,2017,2450000,Nelson,SP,Balwyn
Southern Metropolitan,2017,1340000,hockingstuart,S,Balwyn
Southern Metropolitan,2017,530000,Fletchers,S,Balwyn
Southern Metropolitan,2017,3200000,Jellis,VB,Balwyn North
Southern Metropolitan,2017,2075000,Fletchers,SP,Balwyn North
Southern Metropolitan,2017,2200000,Marshall,PI,Balwyn North
Southern Metropolitan,2017,2340000,Nelson,S,Balwyn North
Southern Metropolitan,2017,1730000,Fletchers,SP,Balwyn North
Eastern Metropolitan,2017,760000,Surreal,VB,Bayswater North
Southern Metropolitan,2017,1957500,Hodges,SP,Beaumaris
Southern Metropolitan,2017,1720000,Buxton,S,Beaumaris
Southern Metropolitan,2017,2700000,Ray,VB,Beaumaris
Southern Metropolitan,2017,1776000,Ray,S,Beaumaris
Southern Metropolitan,2017,1550000,Jellis,VB,Bentleigh
Southern Metropolitan,2017,1265159,McGrath,SP,Bentleigh
Southern Metropolitan,2017,1208000,Jellis,S,Bentleigh
Southern Metropolitan,2017,745000,Jellis,S,Bentleigh
Southern Metropolitan,2017,860000,Gary,SP,Bentleigh East
Southern Metropolitan,2017,1450000,Buxton,VB,Bentleigh East
Southern Metropolitan,2017,1300000,Buxton,PI,Bentleigh East
Southern Metropolitan,2017,886000,Ray,S,Bentleigh East
Southern Metropolitan,2017,1126500,Woodards,S,Bentleigh East
Southern Metropolitan,2017,1835000,Buxton,S,Bentleigh East
Southern Metropolitan,2017,1450000,Buxton,VB,Bentleigh East
Southern Metropolitan,2017,1540000,Jellis,S,Bentleigh East
Southern Metropolitan,2017,1412000,Jellis,S,Bentleigh East
Southern Metropolitan,2017,1960000,Jellis,SP,Bentleigh East
Southern Metropolitan,2017,1160000,Jellis,S,Bentleigh East
Southern Metropolitan,2017,770000,Jellis,S,Bentleigh East
Eastern Victoria,2017,730000,O'Brien,S,Berwick
Eastern Victoria,2017,935000,Barry,SA,Berwick
Eastern Metropolitan,2017,2300000,Jellis,VB,Blackburn
Eastern Metropolitan,2017,1790000,Philip,S,Blackburn
South-Eastern Metropolitan,2017,1120000,hockingstuart,SP,Bonbeach
Eastern Metropolitan,2017,820000,Jellis,S,Boronia
Eastern Metropolitan,2017,878000,Barry,S,Boronia
Eastern Metropolitan,2017,1606000,Barry,SP,Boronia
Eastern Metropolitan,2017,1540000,Buxton,S,Box Hill
Eastern Metropolitan,2017,1693000,Noel,S,Box Hill
Eastern Metropolitan,2017,1875000,RT,S,Box Hill
Western Metropolitan,2017,800000,Douglas,S,Braybrook
Eastern Metropolitan,2017,977000,Jellis,S,Briar Hill
Eastern Metropolitan,2017,826000,Darren,S,Briar Hill
Southern Metropolitan,2017,4400000,Marshall,VB,Brighton
Southern Metropolitan,2017,560000,Buxton,VB,Brighton
Southern Metropolitan,2017,1200000,Nick,PI,Brighton
Southern Metropolitan,2017,1350000,hockingstuart,PI,Brighton
Southern Metropolitan,2017,1570000,Marshall,S,Brighton
Southern Metropolitan,2017,2230000,Marshall,S,Brighton
Southern Metropolitan,2017,1750000,Buxton,S,Brighton East
Southern Metropolitan,2017,2003000,Marshall,S,Brighton East
Southern Metropolitan,2017,860000,Buxton,SP,Brighton East
Southern Metropolitan,2017,1950000,Nick,PI,Brighton East
Northern Metropolitan,2017,850000,YPA,PI,Broadmeadows
Northern Metropolitan,2017,464000,Stockdale,S,Broadmeadows
Northern Metropolitan,2017,605000,YPA,S,Broadmeadows
Northern Metropolitan,2017,600000,RW,PI,Broadmeadows
Northern Metropolitan,2017,605000,YPA,VB,Broadmeadows
Northern Metropolitan,2017,540000,Jellis,SP,Brunswick
Northern Metropolitan,2017,1100000,Jellis,PI,Brunswick
Northern Metropolitan,2017,440000,Nelson,VB,Brunswick
Northern Metropolitan,2017,640000,hockingstuart,S,Brunswick
Northern Metropolitan,2017,1340000,Nelson,VB,Brunswick
Northern Metropolitan,2017,1440000,Nelson,S,Brunswick
Northern Metropolitan,2017,606000,Nelson,SP,Brunswick
Northern Metropolitan,2017,415000,McGrath,S,Brunswick East
Northern Metropolitan,2017,907000,Nelson,S,Brunswick East
Northern Metropolitan,2017,1710000,Harrington,S,Brunswick East
Northern Metropolitan,2017,900000,Jellis,S,Brunswick East
Northern Metropolitan,2017,1000000,Jellis,SP,Brunswick East
Northern Metropolitan,2017,1070000,Nelson,SP,Brunswick East
Northern Metropolitan,2017,600000,Nelson,VB,Brunswick West
Northern Metropolitan,2017,1400000,Collins,S,Brunswick West
Northern Metropolitan,2017,1085000,Raine,S,Brunswick West
Eastern Metropolitan,2017,726000,Barry,S,Bulleen
Northern Victoria,2017,700000,Raine,VB,Bullengarook
